Date: Wed Jan 02 00:00:00 PST 1980, Total Sales: 1
Date: Sat Apr 18 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Apr 27 00:00:00 PDT 1987, Total Sales: 1
Date: Wed May 06 00:00:00 PDT 1987, Total Sales: 1
Date: Fri May 08 00:00:00 PDT 1987, Total Sales: 1
Date: Sat May 16 00:00:00 PDT 1987, Total Sales: 1
Date: Wed May 20 00:00:00 PDT 1987, Total Sales: 1
Date: Thu May 28 00:00:00 PDT 1987, Total Sales: 1
Date: Sat May 30 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Jun 01 00:00:00 PDT 1987, Total Sales: 1
Date: Tue Jun 02 00:00:00 PDT 1987, Total Sales: 1
Date: Fri Jun 05 00:00:00 PDT 1987, Total Sales: 1
Date: Thu Jun 25 00:00:00 PDT 1987, Total Sales: 1
Date: Fri Jul 03 00:00:00 PDT 1987, Total Sales: 1
Date: Tue Jul 07 00:00:00 PDT 1987, Total Sales: 1
Date: Thu Jul 16 00:00:00 PDT 1987, Total Sales: 1
Date: Sat Jul 25 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Jul 27 00:00:00 PDT 1987, Total Sales: 1
Date: Sun Aug 09 00:00:00 PDT 1987, Total Sales: 1
Date: Thu Aug 20 00:00:00 PDT 1987, Total Sales: 1
Date: Thu Aug 27 00:00:00 PDT 1987, Total Sales: 1
Date: Fri Aug 28 00:00:00 PDT 1987, Total Sales: 1
Date: Sat Aug 29 00:00:00 PDT 1987, Total Sales: 1
Date: Sat Sep 05 00:00:00 PDT 1987, Total Sales: 1
Date: Sun Sep 06 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Sep 21 00:00:00 PDT 1987, Total Sales: 1
Date: Thu Sep 24 00:00:00 PDT 1987, Total Sales: 1
Date: Sun Sep 27 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Oct 05 00:00:00 PDT 1987, Total Sales: 1
Date: Sun Oct 11 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Oct 19 00:00:00 PDT 1987, Total Sales: 1
Date: Mon Oct 26 00:00:00 PST 1987, Total Sales: 1
Date: Tue Oct 27 00:00:00 PST 1987, Total Sales: 1
Date: Mon Nov 02 00:00:00 PST 1987, Total Sales: 1
Date: Sun Nov 22 00:00:00 PST 1987, Total Sales: 2
Date: Sat Nov 28 00:00:00 PST 1987, Total Sales: 1
Date: Mon Dec 07 00:00:00 PST 1987, Total Sales: 1
Date: Wed Dec 09 00:00:00 PST 1987, Total Sales: 1
Date: Mon Dec 14 00:00:00 PST 1987, Total Sales: 1
Date: Sat Dec 26 00:00:00 PST 1987, Total Sales: 1
Date: Sun Jan 10 00:00:00 PST 1988, Total Sales: 1
Date: Sat Jan 16 00:00:00 PST 1988, Total Sales: 1
Date: Tue Jan 19 00:00:00 PST 1988, Total Sales: 1
Date: Tue Feb 09 00:00:00 PST 1988, Total Sales: 1
Date: Wed Feb 10 00:00:00 PST 1988, Total Sales: 2
Date: Sun Feb 14 00:00:00 PST 1988, Total Sales: 1
Date: Mon Feb 15 00:00:00 PST 1988, Total Sales: 1
Date: Mon Feb 22 00:00:00 PST 1988, Total Sales: 1
Date: Wed Mar 02 00:00:00 PST 1988, Total Sales: 1
Date: Thu Mar 10 00:00:00 PST 1988, Total Sales: 1
Date: Mon Mar 14 00:00:00 PST 1988, Total Sales: 1
Date: Fri Mar 18 00:00:00 PST 1988, Total Sales: 1
Date: Sat Mar 19 00:00:00 PST 1988, Total Sales: 1
Date: Sun Mar 20 00:00:00 PST 1988, Total Sales: 1
Date: Fri Mar 25 00:00:00 PST 1988, Total Sales: 2
Date: Tue Mar 29 00:00:00 PST 1988, Total Sales: 1
Date: Tue Apr 05 00:00:00 PDT 1988, Total Sales: 1
Date: Tue Apr 12 00:00:00 PDT 1988, Total Sales: 1
Date: Thu Apr 14 00:00:00 PDT 1988, Total Sales: 1
Date: Sat Apr 23 00:00:00 PDT 1988, Total Sales: 1
Date: Sun May 01 00:00:00 PDT 1988, Total Sales: 1
Date: Fri May 20 00:00:00 PDT 1988, Total Sales: 1
Date: Mon May 23 00:00:00 PDT 1988, Total Sales: 2
Date: Thu May 26 00:00:00 PDT 1988, Total Sales: 1
Date: Sun Jun 05 00:00:00 PDT 1988, Total Sales: 1
Date: Fri Jun 10 00:00:00 PDT 1988, Total Sales: 1
Date: Sun Jun 19 00:00:00 PDT 1988, Total Sales: 1
Date: Fri Jul 08 00:00:00 PDT 1988, Total Sales: 1
Date: Sun Jul 31 00:00:00 PDT 1988, Total Sales: 1
Date: Mon Aug 01 00:00:00 PDT 1988, Total Sales: 2
Date: Wed Aug 03 00:00:00 PDT 1988, Total Sales: 1
Date: Thu Aug 11 00:00:00 PDT 1988, Total Sales: 1
Date: Fri Aug 12 00:00:00 PDT 1988, Total Sales: 1
Date: Tue Aug 16 00:00:00 PDT 1988, Total Sales: 1
Date: Sat Aug 27 00:00:00 PDT 1988, Total Sales: 2
Date: Sun Aug 28 00:00:00 PDT 1988, Total Sales: 1
Date: Mon Aug 29 00:00:00 PDT 1988, Total Sales: 1
Date: Tue Aug 30 00:00:00 PDT 1988, Total Sales: 1
Date: Fri Sep 09 00:00:00 PDT 1988, Total Sales: 1
Date: Sun Sep 18 00:00:00 PDT 1988, Total Sales: 1
Date: Sat Oct 01 00:00:00 PDT 1988, Total Sales: 1
Date: Sun Oct 16 00:00:00 PDT 1988, Total Sales: 1
Date: Mon Oct 17 00:00:00 PDT 1988, Total Sales: 1
Date: Fri Oct 28 00:00:00 PDT 1988, Total Sales: 1
Date: Fri Nov 11 00:00:00 PST 1988, Total Sales: 1
Date: Mon Nov 14 00:00:00 PST 1988, Total Sales: 1
Date: Tue Nov 22 00:00:00 PST 1988, Total Sales: 1
Date: Wed Nov 30 00:00:00 PST 1988, Total Sales: 1
Date: Tue Dec 06 00:00:00 PST 1988, Total Sales: 1
Date: Wed Dec 07 00:00:00 PST 1988, Total Sales: 2
Date: Sat Dec 17 00:00:00 PST 1988, Total Sales: 1
Date: Wed Dec 21 00:00:00 PST 1988, Total Sales: 1
Date: Thu Dec 29 00:00:00 PST 1988, Total Sales: 1
Date: Sun Jan 15 00:00:00 PST 1989, Total Sales: 1
Date: Tue Jan 17 00:00:00 PST 1989, Total Sales: 1
Date: Sun Jan 22 00:00:00 PST 1989, Total Sales: 1
Date: Mon Jan 23 00:00:00 PST 1989, Total Sales: 1
Date: Mon Feb 13 00:00:00 PST 1989, Total Sales: 1
Date: Mon Feb 20 00:00:00 PST 1989, Total Sales: 1
Date: Sat Feb 25 00:00:00 PST 1989, Total Sales: 1
Date: Sun Mar 05 00:00:00 PST 1989, Total Sales: 1
Date: Sun Mar 19 00:00:00 PST 1989, Total Sales: 1
Date: Tue Mar 21 00:00:00 PST 1989, Total Sales: 1
Date: Tue Mar 28 00:00:00 PST 1989, Total Sales: 1
Date: Fri Mar 31 00:00:00 PST 1989, Total Sales: 1
Date: Sun Apr 16 00:00:00 PDT 1989, Total Sales: 1
Date: Mon Apr 17 00:00:00 PDT 1989, Total Sales: 1
Date: Thu Apr 27 00:00:00 PDT 1989, Total Sales: 1
Date: Sat Jun 03 00:00:00 PDT 1989, Total Sales: 1
Date: Sun Jun 04 00:00:00 PDT 1989, Total Sales: 1
Date: Mon Jun 05 00:00:00 PDT 1989, Total Sales: 1
Date: Fri Jun 09 00:00:00 PDT 1989, Total Sales: 1
Date: Thu Jun 15 00:00:00 PDT 1989, Total Sales: 1
Date: Sat Jun 17 00:00:00 PDT 1989, Total Sales: 1
Date: Tue Jun 20 00:00:00 PDT 1989, Total Sales: 1
Date: Wed Jun 21 00:00:00 PDT 1989, Total Sales: 1
Date: Mon Jul 03 00:00:00 PDT 1989, Total Sales: 1
Date: Fri Jul 07 00:00:00 PDT 1989, Total Sales: 1
Date: Tue Jul 11 00:00:00 PDT 1989, Total Sales: 1
Date: Sat Jul 15 00:00:00 PDT 1989, Total Sales: 2
Date: Mon Aug 07 00:00:00 PDT 1989, Total Sales: 1
Date: Tue Aug 15 00:00:00 PDT 1989, Total Sales: 1
Date: Sun Aug 20 00:00:00 PDT 1989, Total Sales: 1
Date: Thu Aug 24 00:00:00 PDT 1989, Total Sales: 1
Date: Tue Aug 29 00:00:00 PDT 1989, Total Sales: 1
Date: Fri Sep 15 00:00:00 PDT 1989, Total Sales: 1
Date: Tue Sep 19 00:00:00 PDT 1989, Total Sales: 1
Date: Thu Sep 21 00:00:00 PDT 1989, Total Sales: 1
Date: Fri Sep 29 00:00:00 PDT 1989, Total Sales: 1
Date: Tue Oct 10 00:00:00 PDT 1989, Total Sales: 1
Date: Thu Oct 12 00:00:00 PDT 1989, Total Sales: 1
Date: Fri Oct 13 00:00:00 PDT 1989, Total Sales: 1
Date: Fri Oct 20 00:00:00 PDT 1989, Total Sales: 1
Date: Mon Oct 23 00:00:00 PDT 1989, Total Sales: 1
Date: Sat Oct 28 00:00:00 PDT 1989, Total Sales: 1
Date: Wed Nov 01 00:00:00 PST 1989, Total Sales: 1
Date: Thu Nov 02 00:00:00 PST 1989, Total Sales: 1
Date: Fri Nov 10 00:00:00 PST 1989, Total Sales: 2
Date: Sun Nov 26 00:00:00 PST 1989, Total Sales: 1
Date: Sun Dec 24 00:00:00 PST 1989, Total Sales: 1
Date: Mon Dec 25 00:00:00 PST 1989, Total Sales: 1
Date: Mon Jan 01 00:00:00 PST 1990, Total Sales: 1
Date: Fri Jan 19 00:00:00 PST 1990, Total Sales: 1
Date: Sat Jan 20 00:00:00 PST 1990, Total Sales: 1
Date: Fri Feb 09 00:00:00 PST 1990, Total Sales: 1
Date: Wed Feb 14 00:00:00 PST 1990, Total Sales: 1
Date: Mon Feb 19 00:00:00 PST 1990, Total Sales: 1
Date: Wed Feb 21 00:00:00 PST 1990, Total Sales: 1
Date: Fri Mar 02 00:00:00 PST 1990, Total Sales: 2
Date: Wed Mar 14 00:00:00 PST 1990, Total Sales: 1
Date: Sat Mar 17 00:00:00 PST 1990, Total Sales: 1
Date: Sun Mar 18 00:00:00 PST 1990, Total Sales: 1
Date: Fri Mar 23 00:00:00 PST 1990, Total Sales: 1
Date: Sun Mar 25 00:00:00 PST 1990, Total Sales: 1
Date: Wed Mar 28 00:00:00 PST 1990, Total Sales: 1
Date: Fri Mar 30 00:00:00 PST 1990, Total Sales: 1
Date: Wed Apr 04 00:00:00 PDT 1990, Total Sales: 1
Date: Fri Apr 06 00:00:00 PDT 1990, Total Sales: 1
Date: Fri Apr 13 00:00:00 PDT 1990, Total Sales: 1
Date: Tue May 01 00:00:00 PDT 1990, Total Sales: 1
Date: Tue May 08 00:00:00 PDT 1990, Total Sales: 1
Date: Thu May 10 00:00:00 PDT 1990, Total Sales: 1
Date: Thu May 17 00:00:00 PDT 1990, Total Sales: 1
Date: Sat May 19 00:00:00 PDT 1990, Total Sales: 1
Date: Mon May 21 00:00:00 PDT 1990, Total Sales: 1
Date: Fri Jun 01 00:00:00 PDT 1990, Total Sales: 1
Date: Mon Jun 04 00:00:00 PDT 1990, Total Sales: 1
Date: Mon Jun 18 00:00:00 PDT 1990, Total Sales: 1
Date: Tue Jun 19 00:00:00 PDT 1990, Total Sales: 1
Date: Thu Jun 28 00:00:00 PDT 1990, Total Sales: 1
Date: Sun Jul 01 00:00:00 PDT 1990, Total Sales: 1
Date: Sat Jul 07 00:00:00 PDT 1990, Total Sales: 2
Date: Sun Jul 08 00:00:00 PDT 1990, Total Sales: 1
Date: Fri Jul 13 00:00:00 PDT 1990, Total Sales: 1
Date: Mon Jul 16 00:00:00 PDT 1990, Total Sales: 1
Date: Thu Jul 19 00:00:00 PDT 1990, Total Sales: 2
Date: Sat Jul 21 00:00:00 PDT 1990, Total Sales: 1
Date: Wed Jul 25 00:00:00 PDT 1990, Total Sales: 1
Date: Mon Aug 13 00:00:00 PDT 1990, Total Sales: 1
Date: Sun Aug 19 00:00:00 PDT 1990, Total Sales: 1
Date: Wed Aug 22 00:00:00 PDT 1990, Total Sales: 1
Date: Sun Aug 26 00:00:00 PDT 1990, Total Sales: 1
Date: Fri Aug 31 00:00:00 PDT 1990, Total Sales: 1
Date: Mon Sep 03 00:00:00 PDT 1990, Total Sales: 1
Date: Wed Sep 12 00:00:00 PDT 1990, Total Sales: 1
Date: Sat Sep 15 00:00:00 PDT 1990, Total Sales: 2
Date: Thu Oct 04 00:00:00 PDT 1990, Total Sales: 1
Date: Thu Oct 18 00:00:00 PDT 1990, Total Sales: 2
Date: Sun Oct 21 00:00:00 PDT 1990, Total Sales: 1
Date: Fri Oct 26 00:00:00 PDT 1990, Total Sales: 2
Date: Sat Oct 27 00:00:00 PDT 1990, Total Sales: 1
Date: Wed Oct 31 00:00:00 PST 1990, Total Sales: 2
Date: Fri Nov 09 00:00:00 PST 1990, Total Sales: 1
Date: Mon Nov 26 00:00:00 PST 1990, Total Sales: 1
Date: Tue Dec 04 00:00:00 PST 1990, Total Sales: 1
Date: Wed Dec 05 00:00:00 PST 1990, Total Sales: 1
Date: Thu Dec 06 00:00:00 PST 1990, Total Sales: 1
Date: Fri Dec 07 00:00:00 PST 1990, Total Sales: 2
Date: Thu Dec 13 00:00:00 PST 1990, Total Sales: 1
Date: Sat Dec 22 00:00:00 PST 1990, Total Sales: 1
Date: Fri Dec 28 00:00:00 PST 1990, Total Sales: 1
Date: Thu Jan 10 00:00:00 PST 1991, Total Sales: 2
Date: Tue Jan 15 00:00:00 PST 1991, Total Sales: 1
Date: Sun Jan 20 00:00:00 PST 1991, Total Sales: 1
Date: Fri Feb 01 00:00:00 PST 1991, Total Sales: 1
Date: Sun Feb 03 00:00:00 PST 1991, Total Sales: 1
Date: Mon Feb 11 00:00:00 PST 1991, Total Sales: 1
Date: Wed Feb 13 00:00:00 PST 1991, Total Sales: 1
Date: Thu Feb 14 00:00:00 PST 1991, Total Sales: 1
Date: Thu Feb 21 00:00:00 PST 1991, Total Sales: 1
Date: Wed Feb 27 00:00:00 PST 1991, Total Sales: 1
Date: Wed Mar 13 00:00:00 PST 1991, Total Sales: 1
Date: Fri Mar 15 00:00:00 PST 1991, Total Sales: 1
Date: Tue Mar 19 00:00:00 PST 1991, Total Sales: 1
Date: Sun Mar 24 00:00:00 PST 1991, Total Sales: 1
Date: Sun Mar 31 00:00:00 PST 1991, Total Sales: 1
Date: Thu Apr 04 00:00:00 PST 1991, Total Sales: 1
Date: Fri Apr 26 00:00:00 PDT 1991, Total Sales: 1
Date: Fri May 10 00:00:00 PDT 1991, Total Sales: 1
Date: Mon May 13 00:00:00 PDT 1991, Total Sales: 1
Date: Fri May 24 00:00:00 PDT 1991, Total Sales: 1
Date: Sun Jun 16 00:00:00 PDT 1991, Total Sales: 1
Date: Fri Jun 21 00:00:00 PDT 1991, Total Sales: 1
Date: Sun Jul 07 00:00:00 PDT 1991, Total Sales: 1
Date: Tue Jul 16 00:00:00 PDT 1991, Total Sales: 1
Date: Fri Jul 19 00:00:00 PDT 1991, Total Sales: 1
Date: Wed Jul 24 00:00:00 PDT 1991, Total Sales: 1
Date: Tue Jul 30 00:00:00 PDT 1991, Total Sales: 1
Date: Wed Aug 07 00:00:00 PDT 1991, Total Sales: 2
Date: Thu Aug 08 00:00:00 PDT 1991, Total Sales: 1
Date: Fri Aug 09 00:00:00 PDT 1991, Total Sales: 1
Date: Thu Aug 15 00:00:00 PDT 1991, Total Sales: 1
Date: Sat Aug 17 00:00:00 PDT 1991, Total Sales: 1
Date: Fri Sep 06 00:00:00 PDT 1991, Total Sales: 1
Date: Tue Sep 10 00:00:00 PDT 1991, Total Sales: 1
Date: Sat Sep 14 00:00:00 PDT 1991, Total Sales: 1
Date: Tue Oct 01 00:00:00 PDT 1991, Total Sales: 2
Date: Sat Oct 05 00:00:00 PDT 1991, Total Sales: 1
Date: Tue Oct 15 00:00:00 PDT 1991, Total Sales: 1
Date: Sat Oct 19 00:00:00 PDT 1991, Total Sales: 1
Date: Sat Oct 26 00:00:00 PDT 1991, Total Sales: 1
Date: Sun Oct 27 00:00:00 PDT 1991, Total Sales: 1
Date: Sun Nov 17 00:00:00 PST 1991, Total Sales: 1
Date: Tue Nov 26 00:00:00 PST 1991, Total Sales: 1
Date: Mon Dec 02 00:00:00 PST 1991, Total Sales: 1
Date: Mon Dec 30 00:00:00 PST 1991, Total Sales: 1
Date: Tue Dec 31 00:00:00 PST 1991, Total Sales: 2
Date: Tue Jan 14 00:00:00 PST 1992, Total Sales: 1
Date: Wed Jan 15 00:00:00 PST 1992, Total Sales: 1
Date: Mon Jan 20 00:00:00 PST 1992, Total Sales: 1
Date: Sat Jan 25 00:00:00 PST 1992, Total Sales: 1
Date: Sat Feb 01 00:00:00 PST 1992, Total Sales: 1
Date: Mon Feb 03 00:00:00 PST 1992, Total Sales: 1
Date: Mon Feb 10 00:00:00 PST 1992, Total Sales: 1
Date: Wed Feb 12 00:00:00 PST 1992, Total Sales: 1
Date: Mon Feb 17 00:00:00 PST 1992, Total Sales: 1
Date: Fri Feb 21 00:00:00 PST 1992, Total Sales: 1
Date: Fri Feb 28 00:00:00 PST 1992, Total Sales: 2
Date: Sat Feb 29 00:00:00 PST 1992, Total Sales: 1
Date: Sun Mar 01 00:00:00 PST 1992, Total Sales: 1
Date: Thu Mar 05 00:00:00 PST 1992, Total Sales: 1
Date: Tue Mar 17 00:00:00 PST 1992, Total Sales: 1
Date: Wed Mar 18 00:00:00 PST 1992, Total Sales: 1
Date: Thu Mar 19 00:00:00 PST 1992, Total Sales: 1
Date: Sun Mar 22 00:00:00 PST 1992, Total Sales: 1
Date: Mon Mar 23 00:00:00 PST 1992, Total Sales: 1
Date: Tue Mar 31 00:00:00 PST 1992, Total Sales: 1
Date: Thu Apr 09 00:00:00 PDT 1992, Total Sales: 1
Date: Sun Apr 12 00:00:00 PDT 1992, Total Sales: 1
Date: Fri Apr 17 00:00:00 PDT 1992, Total Sales: 1
Date: Fri Apr 24 00:00:00 PDT 1992, Total Sales: 1
Date: Sun May 03 00:00:00 PDT 1992, Total Sales: 1
Date: Wed May 06 00:00:00 PDT 1992, Total Sales: 1
Date: Tue May 12 00:00:00 PDT 1992, Total Sales: 1
Date: Wed May 20 00:00:00 PDT 1992, Total Sales: 1
Date: Tue May 26 00:00:00 PDT 1992, Total Sales: 1
Date: Sat Jun 06 00:00:00 PDT 1992, Total Sales: 1
Date: Sun Jun 14 00:00:00 PDT 1992, Total Sales: 1
Date: Tue Jun 23 00:00:00 PDT 1992, Total Sales: 1
Date: Sun Jul 05 00:00:00 PDT 1992, Total Sales: 1
Date: Sun Jul 19 00:00:00 PDT 1992, Total Sales: 1
Date: Thu Jul 23 00:00:00 PDT 1992, Total Sales: 1
Date: Fri Jul 24 00:00:00 PDT 1992, Total Sales: 2
Date: Sat Jul 25 00:00:00 PDT 1992, Total Sales: 1
Date: Mon Jul 27 00:00:00 PDT 1992, Total Sales: 1
Date: Sat Aug 01 00:00:00 PDT 1992, Total Sales: 1
Date: Sun Aug 02 00:00:00 PDT 1992, Total Sales: 2
Date: Tue Aug 04 00:00:00 PDT 1992, Total Sales: 1
Date: Sat Aug 08 00:00:00 PDT 1992, Total Sales: 1
Date: Sun Aug 16 00:00:00 PDT 1992, Total Sales: 1
Date: Mon Aug 17 00:00:00 PDT 1992, Total Sales: 1
Date: Thu Aug 20 00:00:00 PDT 1992, Total Sales: 1
Date: Sat Aug 22 00:00:00 PDT 1992, Total Sales: 1
Date: Tue Aug 25 00:00:00 PDT 1992, Total Sales: 1
Date: Tue Sep 01 00:00:00 PDT 1992, Total Sales: 1
Date: Tue Sep 15 00:00:00 PDT 1992, Total Sales: 1
Date: Mon Sep 21 00:00:00 PDT 1992, Total Sales: 1
Date: Tue Sep 22 00:00:00 PDT 1992, Total Sales: 1
Date: Fri Oct 09 00:00:00 PDT 1992, Total Sales: 1
Date: Thu Oct 22 00:00:00 PDT 1992, Total Sales: 1
Date: Wed Oct 28 00:00:00 PST 1992, Total Sales: 1
Date: Sat Nov 07 00:00:00 PST 1992, Total Sales: 1
Date: Wed Nov 11 00:00:00 PST 1992, Total Sales: 2
Date: Sun Nov 22 00:00:00 PST 1992, Total Sales: 1
Date: Thu Dec 17 00:00:00 PST 1992, Total Sales: 2
Date: Mon Dec 21 00:00:00 PST 1992, Total Sales: 1
Date: Tue Dec 22 00:00:00 PST 1992, Total Sales: 1
Date: Mon Jan 04 00:00:00 PST 1993, Total Sales: 1
Date: Tue Jan 05 00:00:00 PST 1993, Total Sales: 1
Date: Mon Jan 11 00:00:00 PST 1993, Total Sales: 1
Date: Mon Jan 18 00:00:00 PST 1993, Total Sales: 1
Date: Tue Jan 19 00:00:00 PST 1993, Total Sales: 1
Date: Wed Jan 27 00:00:00 PST 1993, Total Sales: 1
Date: Thu Jan 28 00:00:00 PST 1993, Total Sales: 1
Date: Sat Feb 06 00:00:00 PST 1993, Total Sales: 1
Date: Sun Feb 07 00:00:00 PST 1993, Total Sales: 1
Date: Mon Feb 08 00:00:00 PST 1993, Total Sales: 2
Date: Wed Feb 17 00:00:00 PST 1993, Total Sales: 1
Date: Sun Mar 07 00:00:00 PST 1993, Total Sales: 1
Date: Sat Mar 13 00:00:00 PST 1993, Total Sales: 1
Date: Mon Mar 15 00:00:00 PST 1993, Total Sales: 1
Date: Tue Mar 23 00:00:00 PST 1993, Total Sales: 1
Date: Thu Mar 25 00:00:00 PST 1993, Total Sales: 2
Date: Wed Mar 31 00:00:00 PST 1993, Total Sales: 1
Date: Tue Apr 06 00:00:00 PDT 1993, Total Sales: 2
Date: Fri Apr 09 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Apr 22 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Apr 28 00:00:00 PDT 1993, Total Sales: 1
Date: Mon May 03 00:00:00 PDT 1993, Total Sales: 1
Date: Mon May 17 00:00:00 PDT 1993, Total Sales: 1
Date: Sun May 30 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Jun 03 00:00:00 PDT 1993, Total Sales: 1
Date: Mon Jun 07 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Jun 17 00:00:00 PDT 1993, Total Sales: 1
Date: Fri Jun 18 00:00:00 PDT 1993, Total Sales: 1
Date: Sun Jun 20 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Jun 23 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Jun 24 00:00:00 PDT 1993, Total Sales: 1
Date: Mon Jun 28 00:00:00 PDT 1993, Total Sales: 1
Date: Fri Jul 02 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Jul 08 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Jul 14 00:00:00 PDT 1993, Total Sales: 1
Date: Sat Jul 17 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Jul 29 00:00:00 PDT 1993, Total Sales: 1
Date: Sat Jul 31 00:00:00 PDT 1993, Total Sales: 2
Date: Sun Aug 08 00:00:00 PDT 1993, Total Sales: 2
Date: Tue Aug 10 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Aug 11 00:00:00 PDT 1993, Total Sales: 1
Date: Sun Aug 15 00:00:00 PDT 1993, Total Sales: 1
Date: Fri Aug 20 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Aug 25 00:00:00 PDT 1993, Total Sales: 1
Date: Fri Aug 27 00:00:00 PDT 1993, Total Sales: 1
Date: Sun Aug 29 00:00:00 PDT 1993, Total Sales: 1
Date: Mon Aug 30 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Sep 01 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Sep 09 00:00:00 PDT 1993, Total Sales: 1
Date: Sat Sep 18 00:00:00 PDT 1993, Total Sales: 1
Date: Sun Sep 26 00:00:00 PDT 1993, Total Sales: 1
Date: Mon Sep 27 00:00:00 PDT 1993, Total Sales: 1
Date: Tue Oct 05 00:00:00 PDT 1993, Total Sales: 2
Date: Sat Oct 09 00:00:00 PDT 1993, Total Sales: 1
Date: Tue Oct 12 00:00:00 PDT 1993, Total Sales: 1
Date: Thu Oct 21 00:00:00 PDT 1993, Total Sales: 1
Date: Wed Oct 27 00:00:00 PDT 1993, Total Sales: 1
Date: Sun Oct 31 00:00:00 PDT 1993, Total Sales: 1
Date: Fri Nov 05 00:00:00 PST 1993, Total Sales: 1
Date: Mon Nov 08 00:00:00 PST 1993, Total Sales: 1
Date: Wed Nov 10 00:00:00 PST 1993, Total Sales: 1
Date: Thu Nov 11 00:00:00 PST 1993, Total Sales: 1
Date: Sat Nov 13 00:00:00 PST 1993, Total Sales: 1
Date: Mon Nov 15 00:00:00 PST 1993, Total Sales: 1
Date: Mon Dec 06 00:00:00 PST 1993, Total Sales: 1
Date: Sat Dec 11 00:00:00 PST 1993, Total Sales: 1
Date: Wed Dec 15 00:00:00 PST 1993, Total Sales: 1
Date: Mon Dec 20 00:00:00 PST 1993, Total Sales: 1
Date: Tue Dec 21 00:00:00 PST 1993, Total Sales: 1
Date: Wed Dec 22 00:00:00 PST 1993, Total Sales: 1
Date: Tue Jan 04 00:00:00 PST 1994, Total Sales: 1
Date: Sun Jan 16 00:00:00 PST 1994, Total Sales: 1
Date: Tue Jan 18 00:00:00 PST 1994, Total Sales: 1
Date: Sat Jan 22 00:00:00 PST 1994, Total Sales: 1
Date: Wed Feb 02 00:00:00 PST 1994, Total Sales: 1
Date: Sat Feb 26 00:00:00 PST 1994, Total Sales: 1
Date: Thu Mar 03 00:00:00 PST 1994, Total Sales: 1
Date: Mon Mar 07 00:00:00 PST 1994, Total Sales: 1
Date: Tue Mar 08 00:00:00 PST 1994, Total Sales: 1
Date: Mon Mar 14 00:00:00 PST 1994, Total Sales: 1
Date: Tue Mar 15 00:00:00 PST 1994, Total Sales: 1
Date: Sat Mar 26 00:00:00 PST 1994, Total Sales: 1
Date: Mon Mar 28 00:00:00 PST 1994, Total Sales: 1
Date: Tue Apr 05 00:00:00 PDT 1994, Total Sales: 1
Date: Sun Apr 10 00:00:00 PDT 1994, Total Sales: 1
Date: Thu Apr 14 00:00:00 PDT 1994, Total Sales: 1
Date: Sat Apr 16 00:00:00 PDT 1994, Total Sales: 1
Date: Tue Apr 19 00:00:00 PDT 1994, Total Sales: 1
Date: Sat Apr 23 00:00:00 PDT 1994, Total Sales: 1
Date: Mon Apr 25 00:00:00 PDT 1994, Total Sales: 2
Date: Wed May 11 00:00:00 PDT 1994, Total Sales: 2
Date: Fri May 27 00:00:00 PDT 1994, Total Sales: 2
Date: Sat May 28 00:00:00 PDT 1994, Total Sales: 1
Date: Mon May 30 00:00:00 PDT 1994, Total Sales: 1
Date: Wed Jun 08 00:00:00 PDT 1994, Total Sales: 1
Date: Fri Jun 10 00:00:00 PDT 1994, Total Sales: 1
Date: Mon Jun 13 00:00:00 PDT 1994, Total Sales: 1
Date: Fri Jun 17 00:00:00 PDT 1994, Total Sales: 1
Date: Sat Jun 18 00:00:00 PDT 1994, Total Sales: 1
Date: Tue Jun 21 00:00:00 PDT 1994, Total Sales: 1
Date: Wed Jun 22 00:00:00 PDT 1994, Total Sales: 1
Date: Sat Jun 25 00:00:00 PDT 1994, Total Sales: 1
Date: Fri Jul 01 00:00:00 PDT 1994, Total Sales: 1
Date: Mon Jul 04 00:00:00 PDT 1994, Total Sales: 1
Date: Sun Jul 17 00:00:00 PDT 1994, Total Sales: 1
Date: Sat Jul 23 00:00:00 PDT 1994, Total Sales: 1
Date: Fri Aug 05 00:00:00 PDT 1994, Total Sales: 1
Date: Sat Aug 27 00:00:00 PDT 1994, Total Sales: 1
Date: Sun Aug 28 00:00:00 PDT 1994, Total Sales: 1
Date: Tue Aug 30 00:00:00 PDT 1994, Total Sales: 1
Date: Thu Sep 01 00:00:00 PDT 1994, Total Sales: 1
